step,episode,reward,avg_reward_100,epsilon,elapsed_s
302039,278,-20.00,-18.80,0.4563,1072.6
303604,279,-19.00,-18.83,0.4535,1078.7
305369,280,-17.00,-18.82,0.4503,1085.5
306571,281,-17.00,-18.80,0.4482,1090.2
308131,282,-19.00,-18.80,0.4454,1096.3
309642,283,-16.00,-18.76,0.4426,1102.1
311643,284,-15.00,-18.73,0.4390,1109.8
313531,285,-15.00,-18.68,0.4356,1117.1
315023,286,-18.00,-18.65,0.4330,1122.8
316715,287,-16.00,-18.61,0.4299,1129.7
318858,288,-13.00,-18.53,0.4261,1138.3
320432,289,-21.00,-18.55,0.4232,1144.5
321846,290,-19.00,-18.55,0.4207,1149.9
323293,291,-20.00,-18.56,0.4181,1155.6
324927,292,-16.00,-18.53,0.4151,1162.1
326687,293,-16.00,-18.49,0.4120,1168.9
327977,294,-19.00,-18.47,0.4096,1173.9
329626,295,-18.00,-18.44,0.4067,1180.2
331192,296,-20.00,-18.45,0.4039,1186.5
332731,297,-15.00,-18.39,0.4011,1192.5
334447,298,-18.00,-18.36,0.3980,1199.2
335729,299,-20.00,-18.36,0.3957,1204.2
337637,300,-16.00,-18.33,0.3923,1211.5
339545,301,-19.00,-18.35,0.3888,1219.0
341244,302,-15.00,-18.33,0.3858,1225.6
342529,303,-19.00,-18.37,0.3834,1230.6
344388,304,-17.00,-18.36,0.3801,1237.9
346389,305,-17.00,-18.34,0.3765,1245.7
348039,306,-16.00,-18.30,0.3735,1252.5
349949,307,-14.00,-18.23,0.3701,1260.1
351662,308,-14.00,-18.17,0.3670,1266.8
353582,309,-16.00,-18.17,0.3636,1274.3
355683,310,-13.00,-18.11,0.3598,1282.5
357634,311,-16.00,-18.12,0.3563,1290.2
359936,312,-14.00,-18.08,0.3521,1299.3
361934,313,-18.00,-18.09,0.3485,1307.3
364000,314,-16.00,-18.06,0.3448,1315.5
365178,315,-18.00,-18.06,0.3427,1320.2
367073,316,-17.00,-18.04,0.3393,1327.7
369113,317,-15.00,-18.02,0.3356,1335.9
371563,318,-12.00,-17.93,0.3312,1345.7
373445,319,-19.00,-17.93,0.3278,1353.2
376117,320,-12.00,-17.84,0.3230,1363.7
377673,321,-19.00,-17.85,0.3202,1370.3
379316,322,-17.00,-17.82,0.3172,1376.9
381514,323,-19.00,-17.81,0.3133,1385.6
383584,324,-16.00,-17.77,0.3095,1393.7
385850,325,-14.00,-17.74,0.3055,1402.9
388214,326,-16.00,-17.69,0.3012,1412.2
390431,327,-16.00,-17.66,0.2972,1421.0
392471,328,-18.00,-17.66,0.2936,1429.3
394460,329,-14.00,-17.59,0.2900,1437.3
396317,330,-15.00,-17.55,0.2866,1444.8
398332,331,-17.00,-17.56,0.2830,1453.0
400210,332,-16.00,-17.52,0.2796,1460.6
402424,333,-16.00,-17.49,0.2756,1469.5
404841,334,-13.00,-17.46,0.2713,1479.1
407001,335,-14.00,-17.41,0.2674,1488.2
408784,336,-17.00,-17.39,0.2642,1495.4
