step,episode,reward,avg_reward_100,epsilon,elapsed_s
427308,480,-21.00,-20.65,0.2308,1144.1
428172,481,-20.00,-20.64,0.2293,1146.7
428933,482,-21.00,-20.64,0.2279,1149.0
429690,483,-21.00,-20.64,0.2266,1151.2
430526,484,-20.00,-20.63,0.2251,1153.6
431366,485,-20.00,-20.62,0.2235,1156.0
432124,486,-21.00,-20.62,0.2222,1158.2
432911,487,-21.00,-20.63,0.2208,1160.5
433810,488,-20.00,-20.62,0.2191,1163.2
434750,489,-21.00,-20.62,0.2174,1165.9
435582,490,-20.00,-20.61,0.2160,1168.3
436413,491,-20.00,-20.60,0.2145,1170.8
437260,492,-21.00,-20.60,0.2129,1173.2
438083,493,-21.00,-20.60,0.2115,1175.6
438900,494,-21.00,-20.60,0.2100,1178.0
439782,495,-21.00,-20.61,0.2084,1180.5
440603,496,-21.00,-20.62,0.2069,1182.9
441482,497,-21.00,-20.62,0.2053,1185.5
442269,498,-21.00,-20.63,0.2039,1187.8
443032,499,-21.00,-20.64,0.2025,1190.1
443836,500,-21.00,-20.65,0.2011,1192.4
444611,501,-21.00,-20.65,0.1997,1194.9
445517,502,-21.00,-20.65,0.1981,1197.6
446338,503,-21.00,-20.65,0.1966,1200.1
447216,504,-21.00,-20.65,0.1950,1202.7
448070,505,-20.00,-20.64,0.1935,1205.2
448846,506,-21.00,-20.64,0.1921,1207.5
449836,507,-20.00,-20.63,0.1903,1210.4
450680,508,-21.00,-20.63,0.1888,1212.9
451618,509,-21.00,-20.63,0.1871,1215.6
452379,510,-21.00,-20.64,0.1857,1217.8
453195,511,-21.00,-20.65,0.1842,1220.3
453953,512,-21.00,-20.66,0.1829,1222.5
454790,513,-20.00,-20.65,0.1814,1225.0
455638,514,-21.00,-20.68,0.1799,1227.4
456457,515,-21.00,-20.69,0.1784,1229.8
457237,516,-21.00,-20.69,0.1770,1232.1
457997,517,-21.00,-20.69,0.1756,1234.4
458816,518,-21.00,-20.69,0.1741,1236.9
459664,519,-21.00,-20.69,0.1726,1239.4
460541,520,-21.00,-20.69,0.1710,1242.0
461381,521,-20.00,-20.68,0.1695,1244.5
462220,522,-20.00,-20.67,0.1680,1247.0
463057,523,-20.00,-20.66,0.1665,1249.5
463832,524,-21.00,-20.66,0.1651,1251.8
464710,525,-21.00,-20.66,0.1635,1254.3
465607,526,-21.00,-20.66,0.1619,1257.5
466410,527,-21.00,-20.66,0.1605,1260.0
467170,528,-21.00,-20.67,0.1591,1262.3
467992,529,-21.00,-20.68,0.1576,1264.7
468798,530,-21.00,-20.68,0.1562,1267.1
469555,531,-21.00,-20.68,0.1548,1269.4
470437,532,-21.00,-20.69,0.1532,1272.0
471375,533,-21.00,-20.69,0.1515,1274.7
472225,534,-21.00,-20.70,0.1500,1277.1
473044,535,-21.00,-20.70,0.1485,1279.5
473806,536,-21.00,-20.70,0.1471,1281.8
474623,537,-21.00,-20.70,0.1457,1284.2
475381,538,-21.00,-20.71,0.1443,1286.5
476198,539,-21.00,-20.71,0.1428,1288.9
477126,540,-19.00,-20.69,0.1412,1291.6
477965,541,-20.00,-20.68,0.1397,1294.1
478787,542,-21.00,-20.69,0.1382,1296.5
479546,543,-21.00,-20.70,0.1368,1298.8
480363,544,-21.00,-20.71,0.1353,1301.2
481240,545,-21.00,-20.72,0.1338,1303.8
482076,546,-20.00,-20.71,0.1323,1306.2
482863,547,-21.00,-20.71,0.1308,1308.5
483641,548,-21.00,-20.72,0.1294,1310.8
484486,549,-21.00,-20.74,0.1279,1313.2
485306,550,-21.00,-20.74,0.1264,1316.2
486094,551,-21.00,-20.74,0.1250,1318.8
486971,552,-21.00,-20.74,0.1235,1321.5
487821,553,-21.00,-20.74,0.1219,1324.1
488597,554,-21.00,-20.74,0.1205,1326.5
489461,555,-20.00,-20.73,0.1190,1329.0
490223,556,-21.00,-20.73,0.1176,1331.3
491009,557,-21.00,-20.73,0.1162,1333.6
491859,558,-21.00,-20.73,0.1147,1336.1
492622,559,-21.00,-20.74,0.1133,1338.4
493456,560,-20.00,-20.75,0.1118,1340.9
494236,561,-21.00,-20.76,0.1104,1343.3
495017,562,-21.00,-20.76,0.1090,1345.7
495776,563,-21.00,-20.76,0.1076,1347.9
496610,564,-20.00,-20.76,0.1061,1350.4
497450,565,-20.00,-20.75,0.1046,1352.8
498271,566,-21.00,-20.76,0.1031,1355.3
499087,567,-21.00,-20.76,0.1016,1357.7
499909,568,-21.00,-20.76,0.1002,1360.2
500728,569,-21.00,-20.76,0.1000,1362.6
501669,570,-21.00,-20.77,0.1000,1365.4
502581,571,-19.00,-20.75,0.1000,1368.2
503370,572,-21.00,-20.75,0.1000,1370.6
