step,episode,reward,avg_reward_100,epsilon,elapsed_s
693847,424,14.00,5.10,0.1000,3982.5
696490,425,10.00,5.34,0.1000,3998.9
698977,426,10.00,5.57,0.1000,4014.6
701411,427,17.00,5.85,0.1000,4029.9
703670,428,15.00,6.13,0.1000,4044.1
706205,429,14.00,6.34,0.1000,4060.1
709385,430,13.00,6.59,0.1000,4080.3
711853,431,11.00,6.81,0.1000,4095.9
714619,432,12.00,6.99,0.1000,4113.3
717076,433,13.00,7.22,0.1000,4128.5
719767,434,9.00,7.42,0.1000,4145.6
721787,435,15.00,7.70,0.1000,4158.3
723770,436,18.00,8.00,0.1000,4170.7
726157,437,12.00,8.27,0.1000,4185.6
728636,438,12.00,8.42,0.1000,4201.0
731550,439,6.00,8.59,0.1000,4219.9
733694,440,19.00,8.84,0.1000,4233.4
735864,441,17.00,9.12,0.1000,4246.9
738330,442,9.00,9.26,0.1000,4262.2
740665,443,15.00,9.51,0.1000,4276.9
743470,444,13.00,9.75,0.1000,4294.5
745867,445,15.00,9.93,0.1000,4309.4
748784,446,13.00,10.11,0.1000,4327.6
751618,447,12.00,10.29,0.1000,4345.7
754232,448,13.00,10.43,0.1000,4362.1
756320,449,19.00,10.58,0.1000,4375.2
759607,450,7.00,10.69,0.1000,4395.9
763107,451,9.00,10.70,0.1000,4417.8
765467,452,14.00,10.77,0.1000,4432.4
767876,453,13.00,10.86,0.1000,4447.6
770922,454,7.00,10.88,0.1000,4466.5
773542,455,13.00,10.97,0.1000,4482.8
775896,456,13.00,11.04,0.1000,4497.4
777980,457,14.00,11.20,0.1000,4510.4
780011,458,17.00,11.31,0.1000,4523.0
782649,459,12.00,11.40,0.1000,4539.5
785363,460,9.00,11.39,0.1000,4556.6
787801,461,10.00,11.40,0.1000,4572.0
790825,462,7.00,11.42,0.1000,4591.1
793353,463,15.00,11.50,0.1000,4607.1
795461,464,15.00,11.60,0.1000,4620.5
797838,465,14.00,11.71,0.1000,4635.4
800567,466,12.00,11.86,0.1000,4652.6
802698,467,14.00,11.97,0.1000,4666.0
805332,468,11.00,11.99,0.1000,4682.6
807646,469,14.00,12.02,0.1000,4697.4
810086,470,16.00,12.13,0.1000,4712.6
812104,471,17.00,12.23,0.1000,4725.3
814343,472,13.00,12.34,0.1000,4739.1
817038,473,12.00,12.40,0.1000,4756.0
819036,474,18.00,12.41,0.1000,4768.7
820965,475,18.00,12.45,0.1000,4780.8
823228,476,15.00,12.51,0.1000,4795.0
825187,477,19.00,12.62,0.1000,4807.1
827388,478,14.00,12.66,0.1000,4821.1
829478,479,16.00,12.70,0.1000,4834.3
831790,480,15.00,12.72,0.1000,4848.8
834327,481,16.00,12.78,0.1000,4864.8
836497,482,16.00,12.83,0.1000,4878.7
839227,483,12.00,12.79,0.1000,4896.1
841036,484,19.00,12.88,0.1000,4907.6
843365,485,11.00,12.88,0.1000,4922.4
846136,486,8.00,12.89,0.1000,4940.1
848301,487,17.00,13.05,0.1000,4953.8
850140,488,19.00,13.16,0.1000,4965.3
852759,489,13.00,13.25,0.1000,4981.8
854902,490,16.00,13.47,0.1000,4995.5
857757,491,14.00,13.54,0.1000,5013.7
860082,492,16.00,13.60,0.1000,5028.6
862429,493,12.00,13.60,0.1000,5043.5
864900,494,12.00,13.62,0.1000,5059.4
867741,495,10.00,13.64,0.1000,5077.4
869971,496,13.00,13.63,0.1000,5091.4
872073,497,17.00,13.72,0.1000,5104.7
874395,498,16.00,13.73,0.1000,5119.3
876343,499,18.00,13.77,0.1000,5131.6
878477,500,18.00,13.77,0.1000,5145.1
880473,501,18.00,13.82,0.1000,5157.8
882808,502,16.00,13.84,0.1000,5172.8
885422,503,8.00,13.76,0.1000,5189.4
887413,504,15.00,13.79,0.1000,5201.9
889804,505,14.00,13.75,0.1000,5217.2
892026,506,16.00,13.83,0.1000,5231.1
894695,507,13.00,13.86,0.1000,5247.9
897904,508,7.00,13.80,0.1000,5268.2
899583,509,20.00,13.84,0.1000,5278.8
901806,510,14.00,13.86,0.1000,5293.1
904501,511,15.00,13.85,0.1000,5310.1
906538,512,16.00,13.91,0.1000,5323.0
908952,513,12.00,13.87,0.1000,5338.1
911125,514,15.00,13.85,0.1000,5352.0
913244,515,17.00,13.84,0.1000,5365.5
915846,516,14.00,13.83,0.1000,5382.2
